Navn,Website,Fokus,Region,Sprog,Kontakt,Type,Noter
3D Printing Industry,https://3dprintingindustry.com/,Industrial + Consumer,UK (London),Engelsk,Michael Petch (Editor-in-Chief),Online,"En af de mest autoritative og læste outlets i branchen"
TCT Magazine,https://www.tctmagazine.com/,Industrial,UK,Engelsk,Via tctmagazine.com/contact,Print + Digital,"Siden 1992; en af de mest etablerede trade publications. Kører også TCT Show"
All3DP / All3DP Pro,https://all3dp.com/,Industrial + Consumer,Tyskland (München),Engelsk,"editors@all3dp.com / pr@all3dp.com",Online,"8 mio+ læsere; verdens mest læste 3D-print magasin"
3DPrint.com,https://3dprint.com/,Industrial / Business,USA,Engelsk,Via site,Online,"Stærk business/strategi vinkel. Undertitel: Additive Manufacturing Business"
Additive Manufacturing Media,https://www.additivemanufacturing.media/,Industrial,USA,Engelsk,Via site,Online,"Gardner Business Media; fokus på produktion og end-use parts"
Metal AM,https://www.metal-am.com/,Industrial (Metal AM),UK (Shrewsbury),Engelsk,"nick@inovar-communications.com / jon@inovar-communications.com",Print + Digital,"Kvartalsvis; meget respekteret inden for metal AM. Inovar Communications"
3Dnatives,https://www.3dnatives.com/en/,Industrial + Consumer,Frankrig (Paris),"Engelsk, Fransk, Spansk, Tysk, Italiensk",Via 3dnatives.com/en/contact-3d-printing/,Online,"1 mio+ unikke besøgende/måned; største internationale flersprogede 3D-print medie"
VoxelMatters,https://www.voxelmatters.com/,Industrial (Markedsanalyse),Italien,Engelsk,Via voxelmatters.com/about/contact/,Online,"Stærk på markedsrapporter og datadrevet dækning; driver VoxelMatters Directory"
3D ADEPT Media,https://3dadept.com/en/,Industrial,Belgien (Bruxelles),Engelsk,"contact@3dadept.com / +32(0)486745887",Print + Digital,"Kører også 'Additive Talks' konferenceserie"
Fabbaloo,https://www.fabbaloo.com/,Industrial + Consumer,Canada,Engelsk,Kerry Stevenson (Editor),Online,"Siden 2007; over 8.000 artikler publiceret"
3Printr.com,https://www.3printr.com/,Industrial + Consumer,Tyskland,Engelsk,Via site,Online,"Dagligt opdateret nyhedssite"
AM Chronicle,https://amchronicle.com/,Industrial,Indien,Engelsk,Via site,Print + Digital,"Kvartalsvis magasin; 360-graders digital platform for AM"
MANUFACTUR3D,https://manufactur3dmag.com/,Industrial + Consumer,Indien,Engelsk,Via site,Online,"Indiens førende online 3D-print magasin. Grundlagt 2017"
3Dprinting.com,https://3dprinting.com/,Industrial + Consumer,USA,Engelsk,Via site,Online,"Dækker industri, akademi og offentlige 3D-print projekter"
3Druck.com,https://3druck.com/,Industrial + Consumer,Tyskland,Tysk,Via site,Online,"En af de største tysksprogede 3D-print nyhedssites"
Additive Industrie (Vogel),https://additive.industrie.de/,Industrial,Tyskland,Tysk,Via site,Online,"Vogel Communications; stærkt industrielt fokus"
3D-grenzenlos,https://3d-grenzenlos.de/,Consumer + Industrial,Tyskland,Tysk,Via site,Online,"Tyske 3D-print nyheder og anmeldelser"
Additive Fertigung,https://additive-fertigung.at/,Industrial,Østrig,Tysk,Via site,Online,"Østrigsk publikation fokuseret på AM"
Primante3D,https://primante3d.com/,Industrial + Consumer,Frankrig,Fransk,Via site,Online,"Franske 3D-print nyheder"
Aniwaa,https://aniwaa.com/,Industrial + Consumer,Frankrig,"Engelsk, Fransk",Via site,Online,"Sammenligningsplatform og medie"
Flam3D,https://flam3d.be/,Industrial,Belgien/Holland,"Hollandsk, Engelsk",Via site,Brancheforening,"Belgisk-hollandsk AM brancheforening med publikationer"
DEVELOP3D,https://develop3d.com/,Industrial / Design,UK (London),Engelsk,Via site,Print + Digital,"Månedligt; dækker CAD, simulation og AM"
Engineering.com,https://www.engineering.com/,Industrial (bred),Canada,Engelsk,Via site,Online,"Har dedikeret AM-sektion med seniorredaktør"
Design News,https://www.designnews.com/,Industrial (bred),USA,Engelsk,Via site,Online,"Design engineering med regelmæssig AM-dækning"
SME / Advanced Manufacturing,https://advancedmanufacturing.org/,Industrial,USA,Engelsk,Via site,Online + Print,"Udgiver Manufacturing Engineering og Smart Manufacturing magasiner"
Make: Magazine,https://makezine.com/,Consumer / Maker,USA,Engelsk,Via site,Print + Digital,"Stærk 3D-print sektion; meget indflydelsesrig i maker-miljøet"
The Engineer,https://theengineer.co.uk/,Industrial (bred),UK,Engelsk,Via site,Online,"UK engineering publikation med regelmæssig AM-dækning"
Dezeen,https://dezeen.com/,Design / Arkitektur,UK,Engelsk,Via site,Online,"Arkitektur/design magasin der dækker 3D-print i design"
Ingeniøren,https://ing.dk/,Industrial (bred),Danmark,Dansk,Via site,Online + Print,"Dansk ingeniørmedie; dækker additiv fremstilling regelmæssigt"
Konstruktionspraxis,https://konstruktionspraxis.vogel.de/,Industrial,Tyskland,Tysk,Via site,Online,"Dækker AM i engineering design"
3D Printing and Additive Manufacturing (Journal),https://home.liebertpub.com/publications/3d-printing-and-additive-manufacturing/621,Akademisk / R&D,USA,Engelsk,Via publisher,Akademisk tidsskrift,"Eneste peer-reviewed journal dedikeret til 3D-print"
Wohlers Associates (Wohlers Report),https://wohlersassociates.com/,Industrial (Markedsrapport),USA,Engelsk,Via site,Årlig rapport,"Den definitive årlige markedsrapport for AM-industrien"
