"designer-card__avatar href","designer-card__avatar src","designer-card__username","designer-card__ps-portfolio-item href","designer-card__ps-portfolio-item src","designer-card__ps-portfolio-item href 2","designer-card__ps-portfolio-item src 2","designer-card__ps-portfolio-item href 3","designer-card__ps-portfolio-item src 3","designer-card__ps-loc","designer-card__about","ts-ga","ts-ga href","badge","badge 2","badge 3","badge 4","badge 5","badge 6","designer-card__data","designer-card__data-label","m-b0 2","badge 7","badge 8","badge 9","badge 10","badge 11","badge 12","badge 13","text-muted","designer-card__ps-pics-empty"
"https://www.treatstock.com/c/zip-zap-craft-shack","https://static.treatstock.com/static/user/832752e44215fb9f32e5471d7b03c56b/ps_logo_circle_1656698754_64x64.png","Zip Zap Craft Shack","https://static.treatstock.com/static/files/59/1f/2899923_123663_e525afb8ecea1398fd2396c2d07e2d7d_1200x1200.jpg?date=1622138939","https://static.treatstock.com/static/files/59/1f/2899923_123663_e525afb8ecea1398fd2396c2d07e2d7d_160x90.jpg?date=1622138939","https://static.treatstock.com/static/files/51/91/2899924_123663_357eaa10c627f9d84399e27ce3608945_1200x1200.jpg?date=1622138939","https://static.treatstock.com/static/files/51/91/2899924_123663_357eaa10c627f9d84399e27ce3608945_160x90.jpg?date=1622138939","https://static.treatstock.com/static/files/25/71/2899925_123663_d6bcbc95c557966493a198c46b4771ce_1200x1200.jpg?date=1622138939","https://static.treatstock.com/static/files/25/71/2899925_123663_d6bcbc95c557966493a198c46b4771ce_160x90.jpg?date=1622138939","Bay Shore, New York, US","We're an Eco-Friendly Store, most of our Wood options are Sustainable, Recycled, and 100%...","read more","https://www.treatstock.com/c/zip-zap-craft-shack","3D Printing","Cutting","CNC Machining","3D Design","Manufacturing Services","Signage","Carbon Fiber, Fiberglass, Kevlar-reinforced nylon                            +5 materials","Materials:","","","","","","","","","",""
"https://www.treatstock.com/c/diamond-w-custom-machine-works","https://static.treatstock.com/static/user/0f8921c9a091b8d2d15a8907cf81457b/ps_logo_circle_1537225538_64x64.jpg","Diamond W Custom Machine Works","https://static.treatstock.com/static/files/0d/81/822601_37403_739c9238294e7ca6a00624a1c5b0dec4_1200x1200.jpg?date=1563282196?time=f39ef29b4eb29103131d76eebd48ab5c","https://static.treatstock.com/static/files/0d/81/822601_37403_739c9238294e7ca6a00624a1c5b0dec4_160x90.jpg?date=1563282196?time=f39ef29b4eb29103131d76eebd48ab5c","https://static.treatstock.com/static/files/1f/24/822600_37403_292262393df575900aeeaede7d9992f8_1200x1200.jpg?date=1563282179?time=b68ec29a87d1acb92bae468d2d7fb7d5","https://static.treatstock.com/static/files/1f/24/822600_37403_292262393df575900aeeaede7d9992f8_160x90.jpg?date=1563282179?time=b68ec29a87d1acb92bae468d2d7fb7d5","https://static.treatstock.com/static/files/c7/2d/822602_37403_bd4a1d76e5d19c34b3064b6f1522c751_1200x1200.jpg?date=1563282183?time=7552f192282ab96e1b4ed80101117015","https://static.treatstock.com/static/files/c7/2d/822602_37403_bd4a1d76e5d19c34b3064b6f1522c751_160x90.jpg?date=1563282183?time=7552f192282ab96e1b4ed80101117015","Agra, Kansas, US","We are a job shop specializing in prototypes and low quantity work.  Capabilities include...","read more","https://www.treatstock.com/c/diamond-w-custom-machine-works","3D Printing","","Manufacturing Services","engineering","SolidWorks","Laser Cut","ABS","Materials:","Tags","milling","Lathe","cnc machining","Sheet Metal","water jet","cnc plasma","","",""
"https://www.treatstock.com/c/wake-and-make-ltd","https://static.treatstock.com/static/user/ce005fa15aa5e44ba0f381064d71291a/ps_logo_circle_1643922005_64x64.png","Wake and Make LTD","https://static.treatstock.com/static/files/16/52/3618448_145146_bf5f749d105acc75f427e1cd2342cab4_1200x1200.jpg?date=1643922004","https://static.treatstock.com/static/files/16/52/3618448_145146_bf5f749d105acc75f427e1cd2342cab4_160x90.jpg?date=1643922004","https://static.treatstock.com/static/files/cb/ae/3618449_145146_cddb8b5e1ac6ffbda80ed3e752c63f52_1200x1200.jpg?date=1643922004","https://static.treatstock.com/static/files/cb/ae/3618449_145146_cddb8b5e1ac6ffbda80ed3e752c63f52_160x90.jpg?date=1643922004","https://static.treatstock.com/static/files/08/1a/3618450_145146_4dc4a797bc8fd80ebfa69a00ef73e66a_1200x1200.png?date=1643922004","https://static.treatstock.com/static/files/08/1a/3618450_145146_4dc4a797bc8fd80ebfa69a00ef73e66a_160x90.png?date=1643922004","Belfast, Northern Ireland, GB","We specialise in small batch manufacturing and rapid prototyping, mainly focusing around utilising 3D...","read more","https://www.treatstock.com/c/wake-and-make-ltd","Manufacturing Services","3D Design","","","","","","","","","","","","","","","",""
"https://www.treatstock.com/c/valart","https://static.treatstock.com/static/user/9b3bc79cc92ae23dbd729983ae5856b3/ps_logo_circle_1582543690_64x64.jpg","VALART","https://static.treatstock.com/static/files/c2/4d/1516032_54485_1528c924eb0c8fd396fadca4e5346523_1200x1200.jpg?date=1582546380","https://static.treatstock.com/static/files/c2/4d/1516032_54485_1528c924eb0c8fd396fadca4e5346523_160x90.jpg?date=1582546380","","","","","Osijek, Osječko-Baranjska Županija, HR","3d print & 3d design shop.","","","3D Printing","","3D Design","Manufacturing Services","painting","Galvanized Steel","PLA, ABS, Nylon                            +12 materials","Materials:","Tags","Cutting","welding","Rendering","3D Design","","","","",""
"https://www.treatstock.com/c/north-texas-international-llc","https://static.treatstock.com/static/user/e195b33d677b9903e89282fb4df07836/ps_logo_circle_1629403912_64x64.png","Originate 3d","https://static.treatstock.com/static/files/99/3b/4502553_61034_a630a979f97bf1295d4044ec3f65e0f7_1200x1200.jpg?date=1666383181","https://static.treatstock.com/static/files/99/3b/4502553_61034_a630a979f97bf1295d4044ec3f65e0f7_160x90.jpg?date=1666383181","https://static.treatstock.com/static/files/b7/9d/4502554_61034_79b2b3aa68942cfc9cc85e61162e0bf2_1200x1200.jpg?date=1666383181","https://static.treatstock.com/static/files/b7/9d/4502554_61034_79b2b3aa68942cfc9cc85e61162e0bf2_160x90.jpg?date=1666383181","https://static.treatstock.com/static/files/7a/cc/4502555_61034_11bbfba6c6a767cc926643f75b306349_1200x1200.jpg?date=1666383181","https://static.treatstock.com/static/files/7a/cc/4502555_61034_11bbfba6c6a767cc926643f75b306349_160x90.jpg?date=1666383181","DALLAS, Texas, US","Originate 3D is a product development and small scale manufacturing company.  Our 3d printing...","read more","https://www.treatstock.com/c/north-texas-international-llc","3D Printing","","3D Design","SLA","3D printing","3D Design","PLA, ABS, Nylon                            +9 materials","Materials:","Tags","Manufacturing Services","Inventor","SolidWorks","3D Modeling","Autocad","Fusion 360","fdm","",""
"https://www.treatstock.com/c/isfm","https://static.treatstock.com/static/files/89/ca/3226042_88007_5255d2761d3c23e962f53fc50e6b738c_64x64.png?date=1632120457","ISFM","https://static.treatstock.com/static/files/b8/69/5011465_88007_7f9ea3f318e06719e52b60bd73cdbf10_1200x1200.jpg?date=1692947936","https://static.treatstock.com/static/files/b8/69/5011465_88007_7f9ea3f318e06719e52b60bd73cdbf10_160x90.jpg?date=1692947936","https://static.treatstock.com/static/files/f0/4a/5011463_88007_c73541499359e06a6d7afff64b43718a_1200x1200.jpg?date=1692947936","https://static.treatstock.com/static/files/f0/4a/5011463_88007_c73541499359e06a6d7afff64b43718a_160x90.jpg?date=1692947936","https://static.treatstock.com/static/files/3d/c9/5011462_88007_bc0b408b3dba96a8867f0e678592d707_1200x1200.jpg?date=1692947936","https://static.treatstock.com/static/files/3d/c9/5011462_88007_bc0b408b3dba96a8867f0e678592d707_160x90.jpg?date=1692947936","Châtillon, Île-de-France, FR","Production pièces 3D","","","3D Printing","Manufacturing Services","","","","","PLA, Rubber-like (TPU), PETG","Materials:","","","","","","","","","",""
"https://www.treatstock.com/c/modulvolt3d","https://static.treatstock.com/static/user/9ac7c7ecb642c3d4abb856e0d1a6fa98/ps_logo_circle_1752271123_64x64.png","ModulVolt3d","https://static.treatstock.com/static/files/32/40/5879367_176962_aaafaa29dd393102bbb15f752dabaee3_1200x1200.jpeg?date=1752271122","https://static.treatstock.com/static/files/32/40/5879367_176962_aaafaa29dd393102bbb15f752dabaee3_160x90.jpeg?date=1752271122","https://static.treatstock.com/static/files/30/32/5879368_176962_d7684cd8a3b1a84ca65fc7b24c8806aa_1200x1200.jpeg?date=1752271122","https://static.treatstock.com/static/files/30/32/5879368_176962_d7684cd8a3b1a84ca65fc7b24c8806aa_160x90.jpeg?date=1752271122","https://static.treatstock.com/static/files/34/2d/5879369_176962_21d5c74f56ec285b0fb5272aea6f72a4_1200x1200.jpeg?date=1752271122","https://static.treatstock.com/static/files/34/2d/5879369_176962_21d5c74f56ec285b0fb5272aea6f72a4_160x90.jpeg?date=1752271122","Trebbin, Brandenburg, DE","MODULVOLT3D – PROFESSIONAL 3D PRINTING (GERMANY, EU)

ModulVolt3D ist ein professioneller FDM-3D-Druckservice mit Sitz...","read more","https://www.treatstock.com/c/modulvolt3d","3D Printing","precision FDM","Manufacturing Services","Prototyping","Small Batch Production","prototyping services","PLA, ABS, Rubber-like (TPU)                            +5 materials","Materials:","Tags","3D printing","3d druck","Individuelle Modelle","3D Druck für Heimwerker","mechanical parts","custom models","functional parts","",""
"https://www.treatstock.com/c/rivet3d-design-llc","https://static.treatstock.com/static/user/0b52c744eb871fd521c5a7f28a829551/ps_logo_circle_1595713809_64x64.jpg","Rivet3D LLC","https://static.treatstock.com/static/files/0e/3a/3289993_64680_6c656fe737b0e0b6b20991e8f800be8d_1200x1200.jpg?date=1634135252","https://static.treatstock.com/static/files/0e/3a/3289993_64680_6c656fe737b0e0b6b20991e8f800be8d_160x90.jpg?date=1634135252","https://static.treatstock.com/static/files/37/ee/3289994_64680_03b3af7fe6d07de9965ab5db4e466068_1200x1200.jpg?date=1634135252","https://static.treatstock.com/static/files/37/ee/3289994_64680_03b3af7fe6d07de9965ab5db4e466068_160x90.jpg?date=1634135252","https://static.treatstock.com/static/files/3a/87/3289996_64680_3d834687a9decbeddeac36fac2ff04d9_1200x1200.png?date=1634135252","https://static.treatstock.com/static/files/3a/87/3289996_64680_3d834687a9decbeddeac36fac2ff04d9_160x90.png?date=1634135252","Corvallis, Montana, US","My name is Aaron Rhodes and I am the owner and chief creator at...","read more","https://www.treatstock.com/c/rivet3d-design-llc","3D Printing","Manufacturing Services","3D Design","Signage","CNC Machining","assembly","PLA, Rubber-like (TPU), PETG","Materials:","Tags","","Prototyping","rapid prototyping","fast","additive manufacturing","3D printing service","fdm printing","",""
"https://www.treatstock.com/c/makexyz","https://static.treatstock.com/static/user/d93a1fab253f732d9c3a4cabf7a72eb3/ps_logo_circle_1652738620_64x64.jpg","MakeZXY","https://static.treatstock.com/static/files/78/cf/3954375_153058_ed919bb48b787fe01bf63400d3af0df9_1200x1200.jpeg?date=1652738620","https://static.treatstock.com/static/files/78/cf/3954375_153058_ed919bb48b787fe01bf63400d3af0df9_160x90.jpeg?date=1652738620","https://static.treatstock.com/static/files/84/50/4047249_153058_f83c7e6d6bb41b50b8156216b83e2054_1200x1200.jpeg?date=1655140831","https://static.treatstock.com/static/files/84/50/4047249_153058_f83c7e6d6bb41b50b8156216b83e2054_160x90.jpeg?date=1655140831","https://static.treatstock.com/static/files/af/1d/4047250_153058_7e8cf12d1edc1e00f015bc2e256497d3_1200x1200.jpeg?date=1655140831","https://static.treatstock.com/static/files/af/1d/4047250_153058_7e8cf12d1edc1e00f015bc2e256497d3_160x90.jpeg?date=1655140831","Burnaby, British Columbia, CA","We are a Canadian small batch manufacturer with over 10 years experience in the...","read more","https://www.treatstock.com/c/makexyz","3D Printing","","Manufacturing Services","","","","PLA, ABS, PETG                            +5 materials","Materials:","","Cutting","","","","","","","",""
"https://www.treatstock.com/c/na3d","https://static.treatstock.com/static/user/b46ceb9a90e8a7503cdbce5a1dc2ca77/ps_logo_circle_1729715547_64x64.png","3DR TECH","https://static.treatstock.com/static/files/fe/e2/5546977_163699_2c92ce79b92fd0a94a6208e4bdaac041_1200x1200.jpg?date=1730840732","https://static.treatstock.com/static/files/fe/e2/5546977_163699_2c92ce79b92fd0a94a6208e4bdaac041_160x90.jpg?date=1730840732","https://static.treatstock.com/static/files/7a/47/5546978_163699_17e0ce51c50518f8c06cdd80fd5867ad_1200x1200.jpg?date=1730840732","https://static.treatstock.com/static/files/7a/47/5546978_163699_17e0ce51c50518f8c06cdd80fd5867ad_160x90.jpg?date=1730840732","https://static.treatstock.com/static/files/48/d9/5546981_163699_84dda186350bd7c76875c170ecd41193_1200x1200.jpg?date=1730840732","https://static.treatstock.com/static/files/48/d9/5546981_163699_84dda186350bd7c76875c170ecd41193_160x90.jpg?date=1730840732","Prata di Pordenone, Friuli-Venezia Giulia, IT","Siamo un'azienda specializzata in servizi di progettazione 3D, reverse engineering, prototipazione e stampa 3D....","read more","https://www.treatstock.com/c/na3d","3D Printing","Manufacturing Services","3D Design","3D print","3dprinting","3dmodel","PLA, Polycarbonate (PC), ASA                            +5 materials","Materials:","Tags","","Fusion360","Technical Drawings","3D Modelling","Autocad","2d&3d","","",""
